instance_sn,role,app_name,cpu_request,cpu_limit,gpu_request,gpu_limit,rdma_request,rdma_limit,memory_request,memory_limit,disk_request,disk_limit,max_instance_per_node,creation_time,scheduled_time,deletion_time,estimated_runtime
instance_7519,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,58773.00000000001,58773.00000000001,117392.0,58618.99999999999
instance_7520,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,59184.00000000001,59184.00000000001,117131.0,57946.99999999999
instance_7521,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,59703.00000000001,59703.00000000001,81392.0,21688.999999999993
instance_7523,CN,app_94,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,62326.00000000001,62326.00000000001,133753.0,71427.0
instance_7524,HN,app_0,12,12,1,1,25,25,120.0,120.0,680.0,800.0,8,62732.00000000001,62788.00000000001,68072.0,5339.999999999993
instance_7525,HN,app_0,12,12,1,1,25,25,120.0,120.0,680.0,800.0,8,62732.00000000001,62788.00000000001,73525.0,10792.999999999993
instance_7526,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,63513.00000000001,63513.00000000001,96939.0,33425.99999999999
instance_7527,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,63513.00000000001,63513.00000000001,145097.0,81584.0
instance_7528,CN,app_42,192,192,0,0,51,51,937.5,937.5,510.0,600.0,-1,63574.00000000001,63574.00000000001,1088822.0,1025248.0
instance_7529,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,64095.00000000001,64095.00000000001,131775.0,67680.0
instance_7530,CN,app_26,48,48,0,0,1,1,300.0,300.0,384.0,480.0,-1,64843.00000000001,64844.00000000001,1565090.0,1500247.0
instance_7531,CN,app_35,192,192,0,0,51,51,960.0,960.0,340.0,400.0,-1,65584.0,65625.0,76130.0,10546.0
